# Condensed verdicts from orchestrion@eliottness/iast-testing:experiments/go-shadow/COVERAGE-LEDGER.md
# ID | case | PatchedGo | Orchestrion(source-rewrite)
### A. Source, values, calls, and control
1 | Tracking disabled | Win ✎ | Win ✎
2 | Empty or clean source | Win ✎ | Win ✎
3 | Equal bytes, one dirty and one clean | Win ✎ | Win ✎
4 | Local string assignment | Win ✎ | Win
5 | Conditional phi merge | Win ✎ | Win ✎
6 | Direct static identity call | Win ✎ | Win
7 | Function-value identity call | Win ✎ | Win
8 | Static recursion | Win ✎ | Win ✎
9 | Dynamic recursion and stack growth | Win ✎ | Win ✎
10 | Deferred dynamic call cleanup | Win ✎ | Win ✎
11 | Panic/recover transition cleanup | Win ✎ | Win ✎
12 | Recovered named return | Win ✎ | Win ✎
13 | Address-taken string parameter | Win ✎ | Win ✎
14 | Tainted parameter ignored, clean return | Win ✎ | Win ✎
15 | Closure captures a string | Win ✎ | Win
16 | Interface dispatch returns same string | Win ✎ | Win
17 | Interface receiver stays clean | Win ✎ | Win ✎
18 | Indirect os.Getenv or os.Open function values | Win ✎ | Loss
19 | Global string assignment | Win ✎ | Win ✎
20 | Implicit or control-flow taint | Win ✎ | Loss
### B. Strings, bytes, runes, and library transforms
21 | String concatenation with exact ranges | Win ✎ | Win ✎
22 | Two-index string or byte slice | Win ✎ | Win ✎
23 | Omitted-bound or three-index slice | Win ✎ | Win ✎
24 | string to []byte to string | Win ✎ | Win ✎
25 | string to []rune to string | Win ✎ | Win ✎
26 | Append scalar byte to tainted bytes | Win ✎ | Win ✎
27 | Append string bytes with source... | Win ✎ | Win ✎
28 | Generic byte-slice append | Win ✎ | Win ✎
29 | copy([]byte, string) | Win ✎ | Win ✎
30 | clear([]byte) removes taint | Win ✎ | Win ✎
31 | Clean byte overwrites dirty byte | Win ✎ | Win ✎
32 | Dirty indexed byte assigned into clean slice | Win ✎ | Win ✎
33 | Direct string byte-index reconstruction | Win ✎ | Win ✎
34 | Byte scalar through local variable | Win ✎ | Win ✎
35 | Rune scalar through local variable | Win ✎ | Win ✎
